Year,Genre,Platform,Global Sales
2013,Action,PS3,21.4
2004,Action,PS2,20.81
2002,Action,PS2,16.15
2001,Racing,PS2,14.98
2015,Shooter,PS4,14.24
2012,Shooter,PS3,14.03
2011,Shooter,PS3,13.46
2001,Action,PS2,13.1
2010,Shooter,PS3,12.73
2014,Action,PS4,11.98
2004,Racing,PS2,11.66
1997,Racing,PS,10.95
2010,Racing,PS3,10.77
2009,Shooter,PS3,10.69
2008,Action,PS3,10.57
1997,Role-Playing,PS,9.72
2013,Shooter,PS3,9.59
1999,Racing,PS,9.49
2015,Sports,PS4,8.49
2012,Action,PS3,8.24
2001,Role-Playing,PS2,8.05
1999,Role-Playing,PS,7.86
2015,Shooter,PS4,7.67
2014,Shooter,PS4,7.6
1997,Platform,PS,7.58
2011,Shooter,PS3,7.23
2003,Racing,PS2,7.2
1998,Fighting,PS,7.16
1998,Platform,PS,7.13
2015,Role-Playing,PS4,6.96
2013,Sports,PS3,6.9
2004,Racing,PS2,6.9
2002,Shooter,PS2,6.83
2011,Action,PS3,6.83
1996,Platform,PS,6.82
2009,Action,PS3,6.73
2007,Shooter,PS3,6.72
2011,Sports,PS3,6.69
2010,Action,PS3,6.6
2014,Sports,PS4,6.59
2011,Role-Playing,PS3,6.56
2012,Action,PS3,6.5
2002,Role-Playing,PS2,6.4
1999,Action,PS,6.27
2001,Action,PS2,6.05
2008,Action,PS3,6.03
1998,Action,PS,6.03
2013,Action,PS3,5.99
2006,Role-Playing,PS2,5.95
2008,Platform,PS3,5.92
1998,Action,PS,5.82
1996,Fighting,PS,5.74
2014,Shooter,PS4,5.65
2009,Action,PS3,5.57
2011,Action,PS3,5.53
2008,Shooter,PS3,5.43
2001,Platform,PS2,5.42
2014,Misc,PS3,5.42
2009,Role-Playing,PS3,5.36
2000,Role-Playing,PS,5.3
2003,Role-Playing,PS2,5.29
1997,Action,PS,5.24
,Sports,PS2,5.23
2004,Role-Playing,PS2,5.21
2003,Shooter,PS2,5.13
