Country Name,Latitude (generated),Longitude (generated),CO2 Per Capita (metric tons)
Zimbabwe,-19.098,30.047,9.491755332
Zambia,-15.13,25.268,2.162182291
"Yemen, Rep.",15.569,47.793,11.359002513
West Bank and Gaza,32.097,35.26,6.477746164
Virgin Islands (U.S.),17.7289,-64.7592,
Vietnam,21.75,105.373,15.093910771
"Venezuela, RB",6.983,-64.588,78.574138101
Vanuatu,-15.339,166.89,4.932070352
Uzbekistan,41.757,63.958,53.496145612
Uruguay,-32.948,-56.249,22.196351399
United States,40.0792,-98.8164,226.913319821
United Kingdom,52.289,-1.259,102.785169664
United Arab Emirates,23.9299,53.9031,309.08014179
Ukraine,49.364,32.132,80.58787516
Uganda,1.9392,32.7415,1.033586444
Tuvalu,-7.4786,178.6758,
Turks and Caicos Islands,21.7779,-71.7592,54.255471271
Turkmenistan,39.584,59.597,119.517023796
Turkey,39.144,34.188,44.140769651
Tunisia,35.594,9.421,27.390498437
Trinidad and Tobago,10.4435,-61.2604,348.222368323
Tonga,-21.167,-175.19,13.250810253
Togo,7.7,1.106,3.122191791
Timor-Leste,-8.856,125.556,1.773357443
Thailand,15.688,100.845,46.063569847
Tanzania,-5.651,34.146,1.513649814
Tajikistan,38.367,72.597,4.451570299
Syrian Arab Republic,35.303,38.322,35.528899852
Switzerland,46.7794,8.0329,64.337166637
Sweden,66.2188,19,67.498859617
Suriname,4.248,-55.848,55.704334169
Sudan,15.739,29.533,3.29801206
St. Vincent and the Grenadines,13.2528,-61.1949,23.292624933
St. Martin (French part),18.0848,-63.0507,
St. Lucia,13.909,-60.9776,26.527526769
St. Kitts and Nevis,17.147,-62.58,54.11708452
Sri Lanka,7.3,80.727,7.347558612
Spain,40.617,-3.388,86.621995648
South Sudan,7.1,30.48,
South Africa,-31.7,23.441,104.841745484
Somalia,2.875,43.446,0.816099861
Solomon Islands,-9.5987,160.1487,4.643578846
Slovenia,46.037,14.534,93.428240433
Slovak Republic,48.8595,19.4434,83.704922204
Sint Maarten (Dutch part),18.034,-63.0544,
Singapore,1.3389,103.8297,84.610080663
Sierra Leone,8.677,-11.779,1.529472664
Seychelles,-4.6841,55.4924,92.202671477
Serbia,44.021,20.699,40.783206036
Senegal,15.044,-15.081,5.734979313
Saudi Arabia,24.191,44.32,190.811087189
Sao Tome and Principe,0.216,6.595,5.864648522
San Marino,43.942,12.4611,
Samoa,-13.6221,-172.439,11.574431797
Rwanda,-1.887,29.904,0.719618596
Russian Federation,64.736,104.062,136.741304751
Romania,45.933,25.119,52.447877137
Qatar,25.3174,51.1522,622.464248708
Puerto Rico,18.242,-66.643,
Portugal,40.957,-7.9373,67.893810553
Poland,52.442,19.72,96.600381037
Philippines,17.181,121.256,10.276095926
Peru,-12.664,-72.98,16.466375786
Paraguay,-23.266,-58.409,8.701019083
Papua New Guinea,-5.636,142.798,8.423373014
Panama,8.348,-81.005,25.683849708
Palau,7.5288,134.5573,116.137079
Pakistan,28.1854,66.6429,10.665510534
Oman,19.85,56.25,167.039187573
Norway,61.3701,9.3031,115.05710102
Northern Mariana Islands,15.1905,145.7471,
Nigeria,9.3417,7.678,7.713449827
Niger,16.996,9.915,0.824862809
Nicaragua,12.692,-85.03,9.681814536
New Zealand,-42.558,172.377,96.928161296
New Caledonia,-21.02,165.062,146.265862925
Netherlands,52.1704,5.0102,126.156359379
Nepal,28.2114,83.5608,1.525045223
Namibia,-21.276,17.219,14.0236726
Myanmar,21.841,96.05,2.518035253
Mozambique,-13.852,38.042,1.174038255
Morocco,31.129,-7.355,17.95027301
Montenegro,42.857,19.096,26.604860747
Mongolia,46.516,102.564,46.599451927
Monaco,43.7384,7.4243,
Moldova,47.524,28.444,15.000552755
"Micronesia, Fed. Sts.",7.531,150.457,15.895209966
Mexico,22.925,-101.68,46.462325402
Mauritius,-20.2529,57.5902,32.966905613
Mauritania,19.413,-10.6528,6.28143141
Marshall Islands,5.961,169.651,20.998113778
Malta,35.9024,14.4137,74.570929994
Mali,18.211,-2.209,0.888150186
Maldives,4.221,73.463,29.573305743
Malaysia,4.416,102.099,81.03536673
Malawi,-13.2731,33.7428,0.92539431
Madagascar,-19.615,46.645,1.183130855
"Macao SAR, China",22.1404,113.5643,38.510160651
Luxembourg,49.671,6.113,264.051699913
Lithuania,55.342,24.23,49.302836962
Liechtenstein,47.1593,9.547,8.467140128
Libya,27.24,17.571,106.927884001
Liberia,6.51,-9.33,2.208766821
Lesotho,-29.446,28.371,6.558328286
Lebanon,34.161,36.021,52.839136313
Latvia,57.017,25.0173,39.924026184
Lao PDR,19.595,102.538,2.408700169
Kyrgyz Republic,41.741,75.043,12.545730829
Kuwait,29.3169,47.4272,353.36923695
Kosovo,42.546,20.921,
"Korea, Rep.",36.338,128.16,122.158167799
"Korea, Dem. People’s Rep.",,,38.945382835
Kiribati,2.048,-158.59,6.201790241
Kenya,0.806,38.166,3.283694741
Kazakhstan,48.866,69.772,147.955478192
Jordan,30.681,36.279,42.954459185
Japan,35.962,137.855,113.686421829
Jamaica,18.163,-77.477,47.001862407
Italy,44.3713,11.1084,92.231598932
Israel,30.992,34.834,108.44000812
Isle of Man,54.2362,-4.5149,
Ireland,53.214,-7.588,120.757740943
Iraq,33.545,43.278,42.416914144
"Iran, Islamic Rep.",33.408,54.0418,81.912705092
Indonesia,-0.739,114.045,19.379912467
India,22.741,78.236,15.98673352
Iceland,64.826,-18.417,85.277344561
Hungary,47.174,19.618,65.385134834
"Hong Kong SAR, China",22.4114,114.0599,67.884536257
Honduras,14.881,-87.123,12.518126978
Haiti,19.3175,-72.4205,2.566807794
Guyana,5.17,-58.939,25.320866903
Guinea-Bissau,12.191,-14.475,1.64180328
Guinea,10.599,-10.907,1.926258632
Guatemala,15.124,-90.711,10.361928583
Guam,13.45,144.7579,
Grenada,12.111,-61.6867,26.375929741
Greenland,71,-39,127.223875906
Greece,39.787,21.617,102.775601936
Ghana,7.258,-1.062,4.525885995
Germany,51.3819,9.9877,115.761446473
Georgia,42.05,43.576,15.707914718
"Gambia, The",13.499,-14.641,2.906857305
Gabon,-0.406,11.914,16.246734405
French Polynesia,-17.529,-149.53,38.005671175
France,46.656,2.543,70.722404418
Finland,62.716,26.192,136.470389369
Fiji,-17.7941,177.9783,15.848893801
Faroe Islands,62.1252,-7.0174,170.724506697
Ethiopia,8.435,38.786,0.873946452
Estonia,58.777,25.977,148.422685979
Eritrea,15.982,38.02,1.745436958
Equatorial Guinea,1.6342,10.4695,84.646661307
El Salvador,13.848,-89.229,12.925599479
"Egypt, Arab Rep.",26.16,28.742,26.911228686
Ecuador,-1.151,-78.308,25.003151129
Dominican Republic,19.01,-70.1685,26.444715102
Dominica,15.4238,-61.3411,20.325788128
Djibouti,11.41,42.165,6.608402355
Denmark,56.113,9.096,109.176082643
Czech Republic,49.848,15.2812,137.481382408
Cyprus,34.894,32.928,88.017320108
Curacao,12.2129,-69.0407,
Cuba,20.571,-76.456,30.480655202
Croatia,45.754,16.385,60.113404242
Cote d'Ivoire,7.497,-5.336,4.470351632
Costa Rica,10.126,-84.075,19.721435869
"Congo, Rep.",0.509,16.08,4.083754921
"Congo, Dem. Rep.",-1.418,23.607,0.508535865
Comoros,-11.6527,43.3307,2.125979522
Colombia,3.794,-73.606,17.255297065
China,35.1753,99.3877,54.376120337
Chile,-23.176,-69.201,47.554604397
Channel Islands,49.4632,-2.5827,
Chad,15.981,18.781,0.436748788
Central African Republic,7.043,21.424,0.7079386
Cayman Islands,19.3299,-81.1715,125.019408707
Canada,59.2067,-111.1937,197.194048467
Cameroon,4.4,12.131,2.999748698
Cambodia,12.69,104.444,2.748986135
Cabo Verde,15.416,-23.36,7.248912292
Burundi,-3.333,29.749,0.298228221
Burkina Faso,12.673,-1.226,1.175411176
Bulgaria,42.625,24.521,73.506030511
Brunei Darussalam,4.452,114.557,220.562393156
Brazil,-11.694,-48.978,22.870554996
Botswana,-22.126,23.662,29.136580489
Bosnia and Herzegovina,44.342,17.804,54.480464631
Bolivia,-16.71,-65.183,16.797044186
Bhutan,27.5342,90.3002,7.546216789
Bermuda,32.3019,-64.7737,92.241163803
Benin,10.478,2.274,4.720909819
Belize,17.108,-88.744,20.689228175
Belgium,50.6745,4.4588,122.737661576
Belarus,53.3292,27.9492,72.430591052
Barbados,13.1898,-59.559,60.658004094
Bangladesh,24.598,90.1963,3.572932823
Bahrain,26.025,50.5534,252.58629977
"Bahamas, The",24.7032,-78.0455,59.597020367
Azerbaijan,40.46,47.883,45.33481904
Austria,47.65,14.705,99.883266703
Australia,-24.578,133.582,205.747738521
Aruba,12.5176,-69.9818,298.402196937
Armenia,40.56,44.449,16.648034116
Argentina,-33.166,-64.31,49.196715736
Antigua and Barbuda,17.625,-61.786,62.127551929
Angola,-12.836,17.808,12.812239509
Andorra,42.5425,1.5893,82.039127228
American Samoa,-14.3018,-170.7511,
Algeria,28.6045,2.64,36.57156486
Albania,40.654,20.076,16.497472632
Afghanistan,34.023,65.5267,1.544600748
