Country,Latitude (generated),Longitude (generated),Happiness Score
Zimbabwe,-19.098,30.047,4.2
Zambia,-15.13,25.268,4.8
Yemen,15.569,47.793,3.7
Vietnam,21.75,105.373,5.1
Venezuela,6.983,-64.588,6.1
Uzbekistan,41.757,63.958,6.0
Uruguay,-32.948,-56.249,6.5
United States,40.0792,-98.8164,7.1
United Kingdom,52.289,-1.259,6.7
United Arab Emirates,23.9299,53.9031,6.6
Ukraine,49.364,32.132,4.3
Uganda,1.9392,32.7415,3.7
Turkmenistan,39.584,59.597,5.7
Turkey,39.144,34.188,5.4
Tunisia,35.594,9.421,5.0
Trinidad and Tobago,10.4435,-61.2604,6.2
Togo,7.7,1.106,3.3
Thailand,15.688,100.845,6.5
Tanzania,-5.651,34.146,3.7
Tajikistan,38.367,72.597,5.0
Taiwan,23.6091,120.8353,6.4
Syria,35.303,38.322,3.1
Switzerland,46.7794,8.0329,7.5
Sweden,66.2188,19,7.3
Suriname,4.248,-55.848,6.3
Sudan,15.739,29.533,4.1
Sri Lanka,7.3,80.727,4.4
Spain,40.617,-3.388,6.4
South Sudan,7.1,30.48,3.8
South Korea,36.338,128.16,5.8
South Africa,-31.7,23.441,4.5
Somaliland Region,,,5.1
Somalia,2.875,43.446,5.4
Slovenia,46.037,14.534,5.8
Slovakia,48.8595,19.4434,6.1
Singapore,1.3389,103.8297,6.7
Sierra Leone,8.677,-11.779,4.6
Serbia,44.021,20.699,5.2
Senegal,15.044,-15.081,4.2
Saudi Arabia,24.191,44.32,6.4
Rwanda,-1.887,29.904,3.5
Russia,64.736,104.062,5.9
Romania,45.933,25.119,5.5
Qatar,25.3174,51.1522,6.4
Puerto Rico,18.242,-66.643,7.0
Portugal,40.957,-7.9373,5.1
Poland,52.442,19.72,5.8
Philippines,17.181,121.256,5.3
Peru,-12.664,-72.98,5.7
Paraguay,-23.266,-58.409,5.5
Panama,8.348,-81.005,6.7
Palestinian Territories,32.097,35.26,4.8
Pakistan,28.1854,66.6429,5.1
Norway,61.3701,9.3031,7.5
North Cyprus,,,5.8
Nigeria,9.3417,7.678,4.9
Niger,16.996,9.915,3.9
Nicaragua,12.692,-85.03,6.0
New Zealand,-42.558,172.377,7.3
Netherlands,52.1704,5.0102,7.3
Nepal,28.2114,83.5608,4.8
Namibia,-21.276,17.219,4.6
Myanmar,21.841,96.05,4.4
Morocco,31.129,-7.355,5.2
Montenegro,42.857,19.096,5.2
Mongolia,46.516,102.564,4.9
Moldova,47.524,28.444,5.9
Mexico,22.925,-101.68,6.8
Mauritius,-20.2529,57.5902,5.6
Mauritania,19.413,-10.6528,4.2
Malta,35.9024,14.4137,6.5
Mali,18.211,-2.209,4.1
Malaysia,4.416,102.099,6.0
Malawi,-13.2731,33.7428,4.2
Madagascar,-19.615,46.645,3.7
Macedonia,41.636,21.676,5.1
